condition,date,floors,price,view,waterfront,yr_built,yr_renovated,sqft_above,sqft_basement,sqft_living,sqft_lot,bathrooms,bedrooms,street,city,statezip,country
4,20140503T000000,1.0,310000.0,0,0,1973,,1010,0,1010,9945,1.0,3,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA
3,20140504T000000,1.0,775000.0,0,0,2004,,2680,0,2680,7392,2.5,2,13134 234th Ct NE,Redmond,WA 98053,USA
5,20140504T000000,1.0,365000.0,0,0,1988,,1570,630,2200,7350,2.5,3,13420 SE 182nd St,Renton,WA 98058,USA
3,20140504T000000,2.0,331950.0,2,0,1990,,2010,520,2530,9933,2.5,4,925 48th Ct,Auburn,WA 98092,USA
3,20140504T000000,2.0,783500.0,0,0,1980,,1990,860,2850,7130,2.5,3,151 Euclid Ave,Seattle,WA 98122,USA
3,20140504T000000,1.0,628000.0,0,0,1900,,1140,1140,2280,6010,2.0,4,205-206 Euclid Ave,Seattle,WA 98122,USA
3,20140505T000000,2.0,560000.0,0,0,1987,,1900,0,1900,8744,2.5,3,22314 NE 11th Pl,Sammamish,WA 98074,USA
3,20140505T000000,1.0,900000.0,0,0,1928,1954,1330,0,1330,77972,1.0,3,13615 NE 100th St,Kirkland,WA 98033,USA
3,20140505T000000,2.0,531000.0,0,0,2000,,1110,160,1270,1175,3.0,2,1411 N 48th St,Seattle,WA 98103,USA
4,20140505T000000,2.0,831000.0,0,0,1982,2011,1610,560,2170,4000,3.0,4,120 31st Ave E,Seattle,WA 98112,USA
3,20140505T000000,2.0,780000.0,2,0,1996,,2730,0,2730,10281,2.5,4,23140 NE 14th Ct,Sammamish,WA 98074,USA
4,20140505T000000,1.0,755000.0,0,0,1960,,1620,500,2120,10202,2.5,4,12645 SE 27th St,Bellevue,WA 98005,USA
3,20140505T000000,2.0,705380.0,0,0,2003,,2490,0,2490,4343,2.5,3,3187 NE Larkspur Ln,Issaquah,WA 98029,USA
3,20140505T000000,1.0,627000.0,0,0,1973,,1210,780,1990,7712,2.25,4,18915 SE 42nd Pl,Issaquah,WA 98027,USA
3,20140505T000000,2.0,865000.0,0,0,1998,,3690,0,3690,9892,3.0,4,1765 267th Ct SE,Sammamish,WA 98075,USA
5,20140505T000000,1.0,580000.0,0,0,1942,,1320,1220,2540,7000,1.0,2,8624 Island Dr S,Seattle,WA 98118,USA
4,20140505T000000,1.0,410000.0,0,0,1978,,1360,440,1800,36704,2.25,3,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA
4,20140505T000000,1.0,485000.0,0,0,1979,,1340,1000,2340,7048,3.0,4,14319 85th Pl NE,Kirkland,WA 98034,USA
2,20140505T000000,1.0,400000.0,0,0,1948,,2110,0,2110,9519,1.75,2,2120 NE 168th St,Shoreline,WA 98155,USA
5,20140505T000000,1.0,549000.0,0,0,1908,,1140,0,1140,5400,1.0,2,209 30th Ave E,Seattle,WA 98112,USA
3,20140505T000000,2.5,620000.0,0,0,2005,,1480,0,1480,2185,1.75,3,10512 128th Ave NE,Kirkland,WA 98033,USA
3,20140505T000000,2.0,405000.0,0,0,2006,,1140,270,1410,1240,3.0,2,9126 45th Ave SW,Seattle,WA 98136,USA
4,20140505T000000,1.0,232000.0,0,0,1958,,1200,0,1200,8063,1.0,2,20220 8th Ave S,Des Moines,WA 98198,USA
4,20140505T000000,2.0,800866.0,0,0,1990,,3180,0,3180,13806,2.5,5,11821 NE 48th Pl,Kirkland,WA 98033,USA
4,20140505T000000,1.0,650000.0,2,0,1949,,1400,760,2160,9000,1.5,3,13026 10th Ave NW,Seattle,WA 98177,USA
4,20140505T000000,2.5,823000.0,0,0,1908,,2780,140,2920,5000,1.75,6,125 29th Ave,Seattle,WA 98122,USA
4,20140505T000000,1.5,770000.0,0,0,1939,,1810,540,2350,5700,2.0,3,2171 Boyer Ave E,Seattle,WA 98112,USA
4,20140505T000000,1.0,524000.0,0,0,1944,,780,780,1560,5520,1.75,3,3434 33rd Ave W,Seattle,WA 98199,USA
4,20140505T000000,1.0,541125.0,0,0,1960,,1370,1370,2740,8426,2.75,5,5211 116th Pl SE,Bellevue,WA 98006,USA
3,20140505T000000,3.0,670000.0,0,0,1909,1998,1680,0,1680,2000,2.5,3,3503 NE 44th St,Seattle,WA 98105,USA
3,20140505T000000,1.0,384900.0,0,0,1968,,1750,1340,3090,12750,2.5,5,114 SW 292nd St,Federal Way,WA 98023,USA
3,20140505T000000,3.0,406100.0,0,0,2005,,1410,0,1410,1332,2.25,3,8536 Interlake Ave N,Seattle,WA 98103,USA
5,20140505T000000,2.0,1395000.0,1,0,1971,,2850,1160,4010,8510,3.5,5,3930 NE Belvoir Pl,Seattle,WA 98105,USA
3,20140505T000000,2.0,736500.0,3,0,2000,,3180,0,3180,21904,2.5,4,17132 SE 100th St,Renton,WA 98059,USA
3,20140505T000000,1.0,570000.0,0,0,1975,,1330,680,2010,6000,2.25,3,10204 168th Pl NE,Redmond,WA 98052,USA
3,20140505T000000,1.0,787000.0,0,0,1961,,1330,0,1330,7500,1.75,3,218 109th Ave SE,Bellevue,WA 98004,USA
3,20140505T000000,2.0,328000.0,0,0,1998,,2370,0,2370,6500,2.5,4,12621 SE 300th Way,Auburn,WA 98092,USA
4,20140505T000000,1.0,435000.0,0,0,1942,1958,1540,300,1840,9240,2.0,5,14013 Ashworth Ave N,Seattle,WA 98133,USA
3,20140505T000000,2.0,499000.0,0,0,2006,,2910,0,2910,6479,2.5,4,34010 SE Sorenson St,Snoqualmie,WA 98065,USA
3,20140505T000000,1.0,501000.0,0,0,1963,,1160,910,2070,7519,1.0,4,2506 166th Ave NE,Bellevue,WA 98008,USA
3,20140505T000000,2.5,1090000.0,0,0,1992,,4340,0,4340,141570,2.5,4,8814 218th Ave NE,Redmond,WA 98053,USA
3,20140505T000000,1.0,400000.0,0,0,1955,,840,0,840,5510,1.0,2,4515 SW Trenton St,Seattle,WA 98136,USA
3,20140505T000000,1.0,220000.0,0,0,1971,,1240,0,1240,9600,1.5,4,4924 SW 314th Pl,Federal Way,WA 98023,USA
3,20140505T000000,1.0,657100.0,0,0,1924,,1050,340,1390,4240,1.0,4,4312 Woodlawn Ave N,Seattle,WA 98103,USA
3,20140505T000000,2.0,309950.0,0,0,2006,,2310,0,2310,5000,2.75,4,22912 SE 268th Pl,Maple Valley,WA 98038,USA
3,20140505T000000,1.0,300000.0,0,0,1986,,1050,0,1050,10072,2.0,3,27106 NE Miller St,Duvall,WA 98019,USA
5,20140505T000000,1.0,525888.0,0,0,1960,,1810,740,2550,71874,1.75,5,13129 195th Pl SE,Issaquah,WA 98027,USA
3,20140505T000000,1.5,740000.0,0,0,1902,,2010,0,2010,3600,1.75,4,1014 W Garfield St,Seattle,WA 98119,USA
4,20140505T000000,1.5,340000.0,0,0,1962,,1120,0,1120,9022,1.0,5,14150 75th Ave NE,Kirkland,WA 98034,USA
3,20140505T000000,2.0,398750.0,0,0,1954,,2230,0,2230,4000,2.5,3,2601 21st Ave S,Seattle,WA 98144,USA
5,20140505T000000,1.0,206000.0,0,0,1944,,810,0,810,7158,1.0,2,12807 7th Ave S,Burien,WA 98168,USA
3,20140505T000000,1.0,1030000.0,3,0,1976,,1690,1500,3190,16920,2.75,5,4529 135th Ave SE,Bellevue,WA 98006,USA
4,20140505T000000,1.0,600000.0,0,0,1976,1992,1670,0,1670,39639,1.75,3,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA
5,20140505T000000,1.0,379950.0,0,0,1960,,1140,830,1970,9389,1.75,4,1701 N 204th Pl,Shoreline,WA 98133,USA
4,20140505T000000,1.0,287000.0,0,0,1953,,1450,0,1450,6000,1.0,3,8681 Beacon Ave S,Seattle,WA 98118,USA
3,20140505T000000,3.0,2280000.0,4,0,1999,,9410,4130,13540,307752,8.0,7,26408 NE 70th St,Redmond,WA 98053,USA
3,20140505T000000,2.0,309950.0,0,0,1994,,1880,0,1880,7838,2.5,3,17717 113th Pl SE,Renton,WA 98055,USA
4,20140505T000000,1.0,600000.0,0,0,1945,,1040,840,1880,6360,1.75,3,8040 39th Ave NE,Seattle,WA 98115,USA
4,20140505T000000,1.5,418000.0,0,0,1930,,1410,0,1410,6030,2.0,3,901 N 97th St,Seattle,WA 98103,USA
5,20140505T000000,1.5,449250.0,0,0,1928,,1480,0,1480,3844,2.0,4,519 N 104th St,Seattle,WA 98133,USA
4,20140505T000000,1.5,329950.0,0,0,1949,,1140,0,1140,5250,1.0,2,14017 Roslyn Pl N,Seattle,WA 98133,USA
3,20140505T000000,1.0,245000.0,0,0,1984,,1000,920,1920,9306,1.75,3,30001-30021 55th Pl S,Auburn,WA 98001,USA
3,20140505T000000,2.0,549000.0,0,0,2008,,2910,0,2910,6338,2.5,4,16026 SE 137th Terrace,Renton,WA 98059,USA
3,20140505T000000,2.0,800000.0,0,0,1994,,3240,0,3240,7857,2.5,3,22721-22727 SE 27th St,Sammamish,WA 98075,USA
4,20140505T000000,1.0,249950.0,0,0,1958,,1550,0,1550,15040,2.0,3,18027 SE 128th St,Renton,WA 98059,USA
3,20140505T000000,1.0,210000.0,0,0,1956,,1430,620,2050,10200,2.0,5,20927-20999 2nd Ave S,Des Moines,WA 98198,USA
3,20140505T000000,2.0,1425000.0,0,0,2000,,2220,0,2220,4000,2.5,2,1857 41st Ave E,Seattle,WA 98112,USA
3,20140505T000000,1.5,585000.0,0,0,1949,,1520,250,1770,8640,1.0,2,353 NW 88th St,Seattle,WA 98117,USA
4,20140505T000000,1.0,615000.0,0,0,1977,,1960,340,2300,11700,1.75,4,18427 NE 26th Way,Redmond,WA 98052,USA
4,20140505T000000,1.0,618500.0,0,0,1942,,1080,720,1800,5000,2.0,3,2803 NE 62nd St,Seattle,WA 98115,USA
3,20140505T000000,1.0,487585.0,0,0,1977,,1470,540,2010,9211,1.75,4,13313 127th Pl NE,Kirkland,WA 98034,USA
3,20140505T000000,2.0,509900.0,0,0,2010,,1790,0,1790,2700,2.5,3,4532 185th Ave SE,Issaquah,WA 98027,USA
3,20140505T000000,2.0,631625.0,0,0,2014,,2440,0,2440,6651,2.5,4,9288-9358 Holman Rd NW,Seattle,WA 98117,USA
3,20140505T000000,2.0,555000.0,0,0,2009,,1940,0,1940,3211,2.5,3,4509 185th Ave SE,Issaquah,WA 98027,USA
3,20140505T000000,2.0,340000.0,0,0,2001,,1160,0,1160,1438,1.5,2,1318 29th Ave S,Seattle,WA 98144,USA
3,20140505T000000,2.0,830000.0,0,0,2007,,3400,0,3400,9692,2.5,4,12001 173rd Pl NE,Redmond,WA 98052,USA
3,20140505T000000,2.0,890000.0,0,0,2006,,3410,1010,4420,5750,4.25,4,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
3,20140505T000000,3.0,366750.0,0,0,2008,,1571,0,1571,2017,3.0,3,14359 19th Ave NE,Seattle,WA 98125,USA
3,20140505T000000,2.5,415000.0,0,0,2010,,1540,80,1620,998,2.25,3,935 4th Ave NE,Issaquah,WA 98029,USA
3,20140505T000000,3.0,416286.0,0,0,2005,,1408,0,1408,989,2.5,3,7809 12th Ave NE,Seattle,WA 98115,USA
3,20140505T000000,2.0,478000.0,0,0,2007,,3040,0,3040,4535,2.5,3,2027 Ferndale Ave NE,Renton,WA 98056,USA
3,20140505T000000,2.0,890000.0,0,0,2006,,3200,1290,4490,6000,3.5,5,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
3,20140505T000000,2.0,419190.0,0,0,2014,,1590,0,1590,1426,2.5,2,1273 NE Hickory Ln,Issaquah,WA 98029,USA
3,20140505T000000,2.0,712198.0,0,0,2013,,2450,0,2450,4247,2.5,4,17122 NE 117th St,Redmond,WA 98052,USA
3,20140506T000000,1.0,397000.0,0,0,1971,,1200,240,1440,7680,2.0,4,10601 NE 138th Pl,Kirkland,WA 98034,USA
3,20140506T000000,1.5,450000.0,0,0,1912,2005,1100,0,1100,3000,2.0,2,412 NW 70th St,Seattle,WA 98117,USA
4,20140506T000000,1.0,353000.0,0,0,1947,,860,490,1350,7740,1.0,3,11051 35th Ave NE,Seattle,WA 98125,USA
3,20140506T000000,2.0,609000.0,0,0,1985,,2150,0,2150,37981,2.5,4,18114 NE 136th St,Redmond,WA 98052,USA
4,20140506T000000,1.0,234000.0,0,0,1975,,1010,480,1490,8366,1.75,3,25305 151st Pl SE,Covington,WA 98042,USA
3,20140506T000000,2.0,561000.0,0,0,1916,1986,2000,0,2000,7000,2.0,3,6422 Marshall Ave SW,Seattle,WA 98136,USA
3,20140506T000000,1.0,469000.0,0,0,1924,,1030,0,1030,4400,1.0,2,310 NW 72nd St,Seattle,WA 98117,USA
3,20140506T000000,1.0,329350.0,0,0,1942,,720,0,720,6687,1.0,2,9712 4th Ave NW,Seattle,WA 98117,USA
4,20140506T000000,1.5,488000.0,0,0,1938,,2020,0,2020,5000,2.0,5,9020-9024 11th Ave NW,Seattle,WA 98117,USA
4,20140506T000000,1.0,279900.0,1,0,1962,,1100,480,1580,8151,1.75,3,1629 S 261st Pl,Des Moines,WA 98198,USA
3,20140506T000000,2.0,606000.0,0,0,1987,,2110,0,2110,13850,2.5,4,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA
3,20140506T000000,1.0,312000.0,0,0,1950,2013,1300,0,1300,7054,2.0,4,2815 SW 107th St,Seattle,WA 98146,USA
3,20140506T000000,1.0,650000.0,1,0,1940,,1160,470,1630,7475,1.5,3,6009 52nd Ave NE,Seattle,WA 98115,USA
3,20140506T000000,1.0,1135000.0,3,0,1970,2014,1970,1400,3370,8103,2.75,4,3922 SW Henderson St,Seattle,WA 98136,USA
3,20140506T000000,1.0,325000.0,0,0,1980,,980,910,1890,6156,2.5,4,5631 17th Ave SW,Seattle,WA 98106,USA
5,20140506T000000,1.0,425000.0,0,0,1967,,1520,0,1520,7983,2.0,4,14876 Juanita Woodinville Way NE,Kirkland,WA 98034,USA
3,20140506T000000,1.0,219000.0,0,0,1952,,900,0,900,5160,1.0,2,8652 17th Ave SW,Seattle,WA 98106,USA
3,20140506T000000,1.0,250000.0,0,0,1954,,1050,0,1050,6874,1.0,3,18305 Dayton Ave N,Shoreline,WA 98133,USA
4,20140506T000000,1.0,390000.0,0,0,1966,,1260,0,1260,6500,1.75,3,1415 168th Ave NE,Bellevue,WA 98008,USA
3,20140506T000000,1.5,475000.0,0,0,1924,,3470,0,3470,117612,3.0,6,19007 80th Ave NE,Kenmore,WA 98028,USA
4,20140506T000000,2.0,736000.0,0,0,1988,,2290,0,2290,12047,2.5,4,17435 SE 47th St,Bellevue,WA 98006,USA
3,20140506T000000,1.0,407000.0,1,0,1958,,1710,1100,2810,23400,2.25,4,23024-23198 17th Ave S,Des Moines,WA 98198,USA
3,20140506T000000,2.0,272000.0,0,0,1998,,1650,0,1650,13816,2.5,3,32000-32072 NE 55th St,Coronation,WA 98014,USA
4,20140506T000000,1.0,362000.0,0,0,1963,,1140,500,1640,14374,2.25,3,17253 Ambaum Blvd S,Burien,WA 98148,USA
3,20140506T000000,2.0,535000.0,0,0,1991,,1850,0,1850,10109,2.5,3,8409 NE 129th Pl,Kirkland,WA 98034,USA
3,20140506T000000,2.0,284000.0,0,0,2003,,2000,0,2000,5390,2.5,4,25434 160th Ave SE,Kent,WA 98042,USA
3,20140506T000000,1.0,367500.0,0,0,1961,,1410,0,1410,9647,1.5,3,18048 3rd Ave NW,Shoreline,WA 98177,USA
4,20140506T000000,1.0,379900.0,0,0,1955,,1000,500,1500,11600,1.75,4,15007 75th Ave NE,Kenmore,WA 98028,USA
4,20140506T000000,2.0,520000.0,0,0,1980,,2460,0,2460,54885,2.5,3,5424 NE 10th St,Renton,WA 98059,USA
3,20140506T000000,1.0,175000.0,0,0,1954,,1010,0,1010,7034,1.0,3,207 NW 5th St,Renton,WA 98057,USA
3,20140506T000000,2.0,460000.0,0,0,2004,,1020,210,1230,929,2.25,2,100 24th Ave E,Seattle,WA 98112,USA
3,20140506T000000,2.0,345000.0,0,0,2007,,2331,0,2331,3826,2.5,4,11853 SE 176th Ct,Renton,WA 98058,USA
3,20140506T000000,1.0,455000.0,0,0,1978,,1340,900,2240,7770,2.5,5,12633 NE 133rd Pl,Kirkland,WA 98034,USA
5,20140506T000000,1.0,610000.0,0,0,1967,,1580,870,2450,10117,3.0,4,15607 SE 42nd Ct,Bellevue,WA 98006,USA
3,20140506T000000,2.0,563000.0,0,0,1996,,2400,700,3100,15480,3.0,4,7422 NE 163rd St,Kenmore,WA 98028,USA
3,20140506T000000,1.0,612500.0,0,0,1949,2013,1030,1030,2060,5000,2.0,4,1708 NW 96th St,Seattle,WA 98117,USA
3,20140506T000000,1.0,218000.0,0,0,1979,,1320,530,1850,7684,1.75,3,33945 28th Pl SW,Federal Way,WA 98023,USA
3,20140506T000000,1.0,404000.0,0,0,1958,,960,880,1840,10720,1.75,4,16020 SE 2nd St,Bellevue,WA 98008,USA
3,20140506T000000,2.0,860000.0,0,0,2000,,3740,0,3740,32417,2.0,4,24507 NE 77th Pl,Redmond,WA 98053,USA
3,20140506T000000,1.0,136500.0,0,0,1962,,1420,0,1420,8580,1.5,3,32827 22nd Ave SW,Federal Way,WA 98023,USA
4,20140506T000000,1.0,313950.0,0,0,1940,,860,650,1510,6083,1.0,3,415 NE 94th St,Seattle,WA 98115,USA
3,20140506T000000,1.0,575000.0,2,0,1954,,1170,960,2130,6500,1.75,3,2214 W Halladay St,Seattle,WA 98199,USA
4,20140506T000000,2.0,1225000.0,0,0,1928,,2280,1210,3490,6906,2.25,4,2560 39th Ave W,Seattle,WA 98199,USA
4,20140506T000000,1.0,280000.0,0,0,1971,,1630,0,1630,11800,1.75,3,12525 458th Ave SE,North Bend,WA 98045,USA
3,20140506T000000,2.0,515000.0,0,0,1989,,1790,0,1790,7167,2.5,3,920 221st Ave NE,Sammamish,WA 98074,USA
3,20140506T000000,2.0,513000.0,0,0,1996,,2000,0,2000,5684,2.5,4,9041 NE 160th Pl,Kenmore,WA 98028,USA
4,20140506T000000,2.0,599000.0,0,0,1977,,1400,860,2260,29930,2.25,4,16022 SE 43rd St,Bellevue,WA 98006,USA
3,20140506T000000,2.0,685000.0,0,0,1999,,3030,0,3030,7864,2.5,4,24201 SE 1st Pl,Sammamish,WA 98074,USA
3,20140506T000000,1.0,365000.0,0,0,1950,,1310,0,1310,8160,1.5,3,13714 Ashworth Ave N,Seattle,WA 98133,USA
